source,material_grade,material_specification,thickness_mm,width_mm,length_mm,weight_kg,material_cluster,silicon_content,manganese_content,phosphorus_content,sulfur_content,chromium_content,nickel_content,molybdenum_content,vanadium_content,copper_content,niobium_content,titanium_content,aluminum_content,boron_content,yield_strength,tensile_strength,elongation
supplier_1,G2UB5,SZBS800,320,856.0,787.0,16.49,WB-G,2.469583333333333,1.1660263157894737,127.09175833333332,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.8498416666666667,0.031193749999999996,0.6832124999999999,0.1215979166666667,0.05220833333333335,0.7179062500000001,327.68275,162.91637500000002,69.41666666666667
supplier_1,G2UJ5,SZBS800,339,918.0,707.0,17.16,WB-G,2.469583333333333,1.1660263157894737,127.09175833333332,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.8498416666666667,0.031193749999999996,0.6832124999999999,0.1215979166666667,0.05220833333333335,0.7179062500000001,327.68275,162.91637500000002,69.41666666666667
supplier_1,C3318,LICRO 500,452,"1,839.0",300.0,18.7,WB-U,0.254,1.278,0.008,0.001,0.434,0.035,0.009,0.002,0.029,0.0012,0.032,0.032,0.0025,0.0,0.0,0.0
supplier_1,C3U15,S380MC mod. 4,532,"1,160.0",461.0,22.011,WB-U,0.225,1.063,0.01,0.002,0.048,0.03,0.006,0.003,0.015,0.032,0.0989,0.043,1.0,0.0,0.0,0.0
supplier_1,G3UB5,SZBE800,451,727.2,557.0,14.02,Spaltband,2.469583333333333,1.1660263157894737,127.09175833333332,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.8498416666666667,0.031193749999999996,0.6832124999999999,0.1215979166666667,0.05220833333333335,0.7179062500000001,327.68275,162.91637500000002,69.41666666666667
supplier_1,G2UB5,SZBS800,452,727.2,517.0,13.0,Spaltband,2.469583333333333,1.1660263157894737,127.09175833333332,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.8498416666666667,0.031193749999999996,0.6832124999999999,0.1215979166666667,0.05220833333333335,0.7179062500000001,327.68275,162.91637500000002,69.41666666666667
supplier_1,G2UB5,2A Lager,247,"1,380.0",450.0,11.76,ELO verzinkt,10.0,1.1660263157894737,610.0,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.0638,0.0776,0.0015,0.054,0.076,0.046,1350.0,444.0,290.0
supplier_1,C27L5,50CrMo4,481,"1,334.0",456.0,23.14,WB-G,2.469583333333333,1.1660263157894737,127.09175833333332,0.0019236842105263157,0.31634210526315787,0.050973684210526324,0.0731578947368421,0.8498416666666667,0.031193749999999996,0.6832124999999999,0.1215979166666667,0.05220833333333335,0.7179062500000001,327.68275,162.91637500000002,69.41666666666667
supplier_1,C2WS8,C2WS8,335,"1,075.0",766.0,20.98,Unknown,0.233,1.029,0.009,0.004,0.06,0.063,0.018,0.003,0.05,0.0327,0.0826,0.037,2.0,0.0,0.0,0.0
supplier_1,C1F28,CR300LA,541,"1,631.0",244.0,16.48,Unknown,0.119,0.744,0.013,0.004,0.048,0.039,0.005,10.0,0.078,0.0104,0.0011,0.038,2.0,0.0,0.0,0.0
