,PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
0,SHEET,436765,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A EID,11.859,1509,2091,FCA,,20/02/2025 11:00
1,SHEET,436754,1 company gmbh,S355MC,1.0976,DIN EN 10149,,8.057,1011,2411,FCA,,20/02/2025 11:00
2,SHEET,436755,1 company gmbh,,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1010,2251,FKA,,2025-02-20 11:00
3,SHEET,436757,1 company gmbh,S355MC,1.0976,,DEKL-S355MC  / D2A WEH,8.057,1011,2401,FCA,,2025-02-20 11:00
4,SHEET,436758,1 company gmbh,S355MC,1.0976,DN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1010,2401,FCA,,2025-02-20 11:00
5,SHEET,436759,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1010,2401,FKA,,2025-02-20 11:00
6,SHEET,436766,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.008,1508,3541,FCA,,2025-02-20 11:00
7,SHEET,436760,1 company gmbh,,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1011,2401,FKA,,20/02/2025 11:00
8,SHEET,436756,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1011,2401,FCA,,2025-02-20 11:00
9,SHEET,436753,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,8.057,1011,2411,,,2025-02-20 11:00
10,COIL_STRIP,436737,1 company gmbh,,1.0873,,DC06  / D2A ZUB,0.8,1385,4580,FCA,570.0,2025-02-20 11:00
11,COIL_STRIP,436733,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A UKK,0.652,1170,7031,FCA,570.0,2025-02-20 11:00
12,COIL_STRIP,436734,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A OZE,0.702,1581,3160,,570.0,2025-02-20 11:00
13,COIL_STRIP,436735,1 company gmbh,DC06,1.0873,DIN EN 10130,,0.703,1479,4680,FCA,570.0,2025-02-20 11:00
14,,436736,1 company gmbh,DC06,1.0873,DIN EN 10130,,0.755,1628,3220,,570.0,2025-02-20 11:00
15,COIL_STRIP,436741,1 company gmbh,,1.033,DIN EN 10130,DC01  / D2A BDE,0.809,1343,2120,,570.0,2025-02-20 11:00
16,COIL_STRIP,436740,1 company gmbh,DC06,1.0873,DIN EN 10130,,0.805,1371,5380,,570.0,2025-02-20 11:00
