PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
SHEET,436765,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A EID,1.6039471087428459,0.3344571813890762,-0.514571786161273,FCA,-1.0,20/02/2025 11:00
SHEET,436754,1 company gmbh,S355MC,1.0976,DIN EN 10149,UNKNOWN,1.0036708111308466,-1.0087660148347943,-0.2857142857142857,FCA,-1.0,20/02/2025 11:00
SHEET,436755,1 company gmbh,UNKNOWN,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0114632501685772,-0.4001430359377794,FKA,-1.0,2025-02-20 11:00
SHEET,436757,1 company gmbh,S355MC,1.0976,UNKNOWN,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0087660148347943,-0.2928660826032541,FCA,-1.0,2025-02-20 11:00
SHEET,436758,1 company gmbh,S355MC,1.0976,DN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0114632501685772,-0.2928660826032541,FCA,-1.0,2025-02-20 11:00
SHEET,436759,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0114632501685772,-0.2928660826032541,FKA,-1.0,2025-02-20 11:00
SHEET,436766,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,1.6274718768502072,0.3317599460552933,0.5224387627391383,FCA,-1.0,2025-02-20 11:00
SHEET,436760,1 company gmbh,UNKNOWN,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0087660148347943,-0.2928660826032541,FKA,-1.0,20/02/2025 11:00
SHEET,436756,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0087660148347943,-0.2928660826032541,FCA,-1.0,2025-02-20 11:00
SHEET,436753,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A WEH,1.0036708111308466,-1.0087660148347943,-0.2857142857142857,UNKNOWN,-1.0,2025-02-20 11:00
COIL_STRIP,436737,1 company gmbh,UNKNOWN,1.0873,UNKNOWN,DC06  / D2A ZUB,-0.14209591474245115,0.0,1.26551045950295,FCA,570.0,2025-02-20 11:00
COIL_STRIP,436733,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A UKK,-0.16546279850009868,-0.5799055967633177,3.0184158769890934,FCA,570.0,2025-02-20 11:00
COIL_STRIP,436734,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A OZE,-0.15756858101440693,0.528658125421443,0.24995530126944396,UNKNOWN,570.0,2025-02-20 11:00
COIL_STRIP,436735,1 company gmbh,DC06,1.0873,DIN EN 10130,UNKNOWN,-0.1574106966646931,0.25354012137559,1.3370284283926337,FCA,570.0,2025-02-20 11:00
UNKNOWN,436736,1 company gmbh,DC06,1.0873,DIN EN 10130,UNKNOWN,-0.1492007104795737,0.655428186109238,0.2928660826032541,UNKNOWN,570.0,2025-02-20 11:00
COIL_STRIP,436741,1 company gmbh,UNKNOWN,1.033,DIN EN 10130,DC01  / D2A BDE,-0.14067495559502663,-0.11328388401888065,-0.4938315751832648,UNKNOWN,570.0,2025-02-20 11:00
COIL_STRIP,436740,1 company gmbh,DC06,1.0873,DIN EN 10130,UNKNOWN,-0.14130649299388195,-0.037761294672960216,1.8376542106204183,UNKNOWN,570.0,2025-02-20 11:00
COIL_STRIP,436739,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A ZUB,-0.1419380303927373,0.24005394470667565,-0.00035758984444841767,FCA,570.0,2025-02-20 11:00
UNKNOWN,436738,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A ZUN,-0.1419380303927373,0.24005394470667565,-0.2935812622921509,FCA,570.0,2025-02-20 11:00
SHEET,436618,1 company gmbh,S460MC,1.0982,DIN EN 10149,DEKL-S460MC  / D2A ROS,0.21235445036510756,-0.9844908968307485,-1.2369032719470767,UNKNOWN,610.0,2025-02-20 11:00
UNKNOWN,436619,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A REI,0.3699230313795145,-0.35873229939312207,-1.3012694439477919,FKA,610.0,2025-02-20 11:00
SHEET,436620,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A ZSM,0.6798500098677719,-1.054619015509103,-1.3298766315036652,FCA,610.0,2025-02-20 11:00
SHEET,436621,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,0.6817446220643378,-0.2265677680377613,-1.201144287502235,UNKNOWN,610.0,2025-02-20 11:00
SHEET,436622,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,0.6823761594631932,-0.35603506405933916,-0.5160021455390666,FCA,610.0,2025-02-20 11:00
SHEET,436623,1 company gmbh,S235JR,1.0038,DN EN 10025,DEKL-S235JR  / D2A REI,0.9978290901914346,0.3155765340525961,0.030395136778115502,FCA,610.0,2025-02-20 11:00
SHET,436624,1 company gmbh,S23SJR,1.0038,DIN EN 10025,UNKNOWN,1.3113874087231103,0.3155765340525961,0.014661183622385124,FCA,610.0,2025-02-20 11:00
SHEET,436625,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,1.6274718768502072,0.3317599460552933,0.5295905596281065,FCA,610.0,2025-02-20 11:00
SHET,436626,1 company gmbh,UNKNOWN,1.0045,DIN EN 10025,UNKNOWN,1.6274718768502072,0.32906271072151044,0.5224387627391383,FCA,610.0,2025-02-20 11:00
SHET,436627,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S35SJR  / D2A KRA,1.6274718768502072,0.3317599460552933,0.5295905596281065,UNKNOWN,610.0,2025-02-20 11:00
SHET,436628,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,1.6307874481941977,0.31827376938637897,-0.47881280171643126,UNKNOWN,610.0,2025-02-20 11:00
SHEET,436629,1 company gmbh,S35SJR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,1.6307874481941977,0.31827376938637897,-0.4859645986053996,FCA,610.0,2025-02-20 11:00
SHEET,436630,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,1.6307874481941977,0.31827376938637897,-0.4859645986053996,FCA,610.0,20/02/2025 11:00
